epoch,dice_metric,loss,lr,val_dice_metric,val_loss
0,0.00014455633936449885,0.17734748125076294,0.001,0.00014413785538636148,0.1734362542629242
1,0.00014455601922236383,0.17334190011024475,0.001,0.00014402373926714063,0.1733110100030899
2,0.00014463489060290158,0.17331993579864502,0.001,0.000143890967592597,0.173317089676857
3,0.00014454408665187657,0.17331242561340332,0.001,0.00014406377158593386,0.17331436276435852
4,0.00014453812036663294,0.17330406606197357,0.001,0.0001439552434021607,0.17331038415431976
5,0.0001446063251933083,0.17330233752727509,0.001,0.00014421386003959924,0.17330563068389893
6,0.00014448420552071184,0.1732982099056244,0.001,0.00014398968778550625,0.17329685389995575
7,0.00014465904678218067,0.17329232394695282,0.000100000005,0.00014410629228223115,0.17329086363315582
8,0.00014447822468355298,0.17329183220863342,0.000100000005,0.0001440183841623366,0.17329049110412598
9,0.00014452554751187563,0.17329207062721252,0.000100000005,0.00014413661847356707,0.17329055070877075
0,0.0038920745719224215,0.0043659270741045475,0.001,0.0017828214913606644,0.006441300734877586
1,0.005628314800560474,0.00040479289600625634,0.001,0.005362312775105238,0.001594902016222477
2,0.005959208123385906,0.00031819636933505535,0.001,0.005725502036511898,0.00040647914283908904
3,0.006175947841256857,0.00032316791475750506,0.001,0.004933207295835018,0.004192951135337353
4,0.006250402424484491,0.00025949275004677474,0.001,0.0031273814383894205,0.0011053981725126505
5,0.00657030800357461,0.00019537688058335334,0.001,0.006783976219594479,0.00881822220981121
6,0.006783423945307732,0.00013785136980004609,0.000100000005,0.006881664972752333,0.0001596494548721239
7,0.006870307493954897,0.00012859383423347026,0.000100000005,0.007072693668305874,0.0002344038221053779
8,0.006899456027895212,0.0001232651702594012,0.000100000005,0.007036748342216015,0.00014010295853950083
9,0.00693349028006196,0.00011796601756941527,0.000100000005,0.006999848410487175,0.0001632306375540793
