epoch,dice_metric,loss,lr,val_dice_metric,val_loss
0,0.002463138895109296,0.009572179988026619,0.001,0.0001146165159298107,0.060985978692770004
1,0.005137916188687086,0.0009991828119382262,0.001,0.0007387627265416086,0.050110749900341034
0,0.003533642739057541,0.004902807995676994,0.001,7.797293073963374e-05,0.06302095204591751
1,0.005402505863457918,0.0004800485330633819,0.001,0.004972219932824373,0.001109953853301704
2,0.006009415723383427,0.00031616052729077637,0.001,0.0038629979826509953,0.007718691602349281
3,0.0062940288335084915,0.00025760073913261294,0.001,0.005215493496507406,0.0003706112620420754
4,0.006447388790547848,0.0002338578924536705,0.001,0.0060289474204182625,0.012197360396385193
5,0.005486187990754843,0.0005556714022532105,0.001,0.0010408717207610607,0.008004679344594479
6,0.006273769773542881,0.00023619845160283148,0.001,0.006497415713965893,0.0003652673913165927
7,0.006611764430999756,0.00017509027384221554,0.000100000005,0.0067062037996947765,0.00022790893854107708
8,0.006702589336782694,0.00016439984028693289,0.000100000005,0.006717083044350147,0.00021967464999761432
9,0.006766578182578087,0.00015899316349532455,0.000100000005,0.006831352598965168,0.0002033072232734412
