epoch,loss,lr,unet3plus_output_final_activation_dice_metric,unet3plus_output_final_activation_loss,unet3plus_output_sup0_activation_dice_metric,unet3plus_output_sup0_activation_loss,unet3plus_output_sup1_activation_dice_metric,unet3plus_output_sup1_activation_loss,unet3plus_output_sup2_activation_dice_metric,unet3plus_output_sup2_activation_loss,val_loss,val_unet3plus_output_final_activation_dice_metric,val_unet3plus_output_final_activation_loss,val_unet3plus_output_sup0_activation_dice_metric,val_unet3plus_output_sup0_activation_loss,val_unet3plus_output_sup1_activation_dice_metric,val_unet3plus_output_sup1_activation_loss,val_unet3plus_output_sup2_activation_dice_metric,val_unet3plus_output_sup2_activation_loss
0,0.3894294500350952,0.001,0.0029900791123509407,0.010581763461232185,0.0002232698752777651,0.09466636925935745,0.00015776860527694225,0.13635879755020142,0.00014679186278954148,0.14782243967056274,0.33477771282196045,0.00016713989316485822,0.04675945267081261,0.00014523368736263365,0.06329009681940079,0.00014493214257527143,0.10127488523721695,0.00014407950220629573,0.1234532818198204
1,0.19323603808879852,0.001,0.005518301855772734,0.0015267508570104837,0.000980615266598761,0.019831297919154167,0.0002771616564132273,0.06608594954013824,0.00016479307669214904,0.10579197108745575,0.4158789813518524,0.0002475135843269527,0.09821198135614395,0.00014723595813848078,0.08846785128116608,0.00014795550669077784,0.12474371492862701,0.0001435713202226907,0.10445554554462433
2,0.13972307741641998,0.001,0.006207603495568037,0.0010352173121646047,0.002479914575815201,0.002479709917679429,0.0003263345861341804,0.05138677358627319,0.00017070550529751927,0.08482140302658081,0.19058577716350555,0.005605101585388184,0.016327565535902977,0.0011257018195465207,0.030572474002838135,0.00021240934438537806,0.06415240466594696,0.00015312217874452472,0.07953336834907532
3,0.11739420145750046,0.001,0.006434419192373753,0.0008110221242532134,0.003041577059775591,0.0019948806148022413,0.0003412939258851111,0.0446736216545105,0.00017353708972223103,0.06991466134786606,0.10876474529504776,0.00628690654411912,0.001032007858157158,0.0029106589499861,0.0021797269582748413,0.00034114098525606096,0.04171603173017502,0.00017028124420903623,0.06383699923753738
4,0.10044775903224945,0.001,0.006543811410665512,0.0007588455337099731,0.0033281133510172367,0.001822668593376875,0.00035471891169436276,0.03902915120124817,0.00017575353558640927,0.05883710831403732,0.09475570917129517,0.006541979964822531,0.001490058028139174,0.0031498223543167114,0.0022531526628881693,0.0003486202913336456,0.03669087588787079,0.0001738732389640063,0.054321613162755966
0,0.32657286524772644,0.001,0.003382590366527438,0.008911089971661568,0.000591080985032022,0.0521346740424633,0.00018491830269340426,0.118381567299366,0.00014728751557413489,0.14714565873146057,0.3509024977684021,0.00016671462799422443,0.05401924252510071,0.0001261294964933768,0.07933402806520462,0.00014474902127403766,0.09383925050497055,0.00014396039478015155,0.12371000647544861
1,0.17569750547409058,0.001,0.0057137454859912395,0.0013149220030754805,0.0016814370173960924,0.007238741032779217,0.00029757688753306866,0.060895759612321854,0.00016411810065619648,0.10624810308218002,0.34726548194885254,0.0006381437997333705,0.052398476749658585,0.00016738983686082065,0.09500052779912949,0.00015079000149853528,0.09637539088726044,0.00014361014473251998,0.10349095612764359
2,0.14182133972644806,0.001,0.006120234727859497,0.0009420893038623035,0.0025807966012507677,0.004242246504873037,0.0003169369010720402,0.051917098462581635,0.0001709365751594305,0.08471988141536713,0.1709446758031845,0.0053067333064973354,0.008625530637800694,0.001675527892075479,0.021417805925011635,0.00021236573229543865,0.060789138078689575,0.0001514778268756345,0.08011221140623093
3,0.11833575367927551,0.001,0.006296917796134949,0.000774234242271632,0.003341435920447111,0.0031700388062745333,0.0003308835730422288,0.04455667361617088,0.00017361220670863986,0.06983475387096405,0.11013134568929672,0.0061692907474935055,0.001339772716164589,0.003590561915189028,0.003595390124246478,0.00032769926474429667,0.041450221091508865,0.00017254000704269856,0.06374596059322357
4,0.10077057033777237,0.001,0.006367093417793512,0.0007347536156885326,0.0038655023090541363,0.002658978570252657,0.00034330261405557394,0.03859184682369232,0.00017560907872393727,0.058784980326890945,0.09419877082109451,0.006188590545207262,0.0012692026793956757,0.003793656360358,0.002678446238860488,0.00034270519972778857,0.0360272042453289,0.00017377066251356155,0.05422389507293701
