epoch,dice_metric,loss,lr,val_dice_metric,val_loss
0,0.0016200299141928554,0.017117483541369438,0.001,0.0001380568864988163,0.04736945405602455
1,0.0026385982055217028,0.004645360633730888,0.001,0.0001137733634095639,0.052278488874435425
2,0.0035896420013159513,0.002682388760149479,0.001,0.00012823303404729813,0.06677953898906708
3,0.004329603631049395,0.0011485846480354667,0.001,5.573074668063782e-05,0.06847920268774033
4,0.005012804642319679,0.0006558481836691499,0.000100000005,7.276875840034336e-05,0.08106416463851929
5,0.0051062037236988544,0.0006154453149065375,0.000100000005,0.00034653834882192314,0.053376100957393646
