epoch,dice_metric,loss,lr,val_dice_metric,val_loss
0,0.002360220067203045,0.014393637888133526,0.001,9.730372403282672e-05,0.05216038599610329
1,0.0051002511754632,0.0010189390741288662,0.001,9.295929339714348e-05,0.0987943559885025
2,0.004604717250913382,0.0019820076413452625,0.001,0.0004376193101052195,0.027108533307909966
3,0.005046415142714977,0.0007556499913334846,0.001,0.0037167384289205074,0.018544772639870644
4,0.005778460763394833,0.0004023339715786278,0.001,0.006449623499065638,0.0021370495669543743
5,0.005993221886456013,0.0003328582679387182,0.001,0.006363847758620977,0.00044982071267440915
6,0.006077027413994074,0.00030892601353116333,0.001,0.006583756301552057,0.0004839240573346615
7,0.006129420828074217,0.00027581886388361454,0.001,0.0063842362724244595,0.0005172258242964745
8,0.006207166239619255,0.00025863584596663713,0.001,0.006253207568079233,0.00024387896701227874
9,0.006252342369407415,0.0002461603726260364,0.001,0.006242929957807064,0.001061938819475472
10,0.006365692708641291,0.0002126195904565975,0.001,0.0067441342398524284,0.0002301369240740314
11,0.006350516341626644,0.00022276287199929357,0.001,0.0054275719448924065,0.0011168024502694607
12,0.006451222114264965,0.00017347205721307546,0.000100000005,0.0064896829426288605,0.00016899598995223641
13,0.006496340036392212,0.00016428834351245314,0.000100000005,0.006610698066651821,0.0001620839029783383
14,0.006512015126645565,0.0001668183977017179,0.000100000005,0.006649205926805735,0.00016460064216516912
15,0.006520179565995932,0.00015786504081916064,1.0000001e-05,0.006569212768226862,0.00015503632312174886
16,0.006519526243209839,0.00015798800450284034,1.0000001e-05,0.00657644122838974,0.00015381764387711883
17,0.006522042211145163,0.000159203918883577,1.0000001e-05,0.0065981014631688595,0.00015453425294253975
18,0.006525701377540827,0.00015749347221571952,1.0000001e-06,0.006597485393285751,0.00015368280583061278
19,0.006523582153022289,0.00015710268053226173,1.0000001e-06,0.006592784076929092,0.000153435961692594
20,0.006524814758449793,0.00015858470578677952,1.0000001e-06,0.006584460847079754,0.00015359518874902278
21,0.006526176817715168,0.00015584095672238618,1.0000001e-07,0.006586983799934387,0.0001535661140223965
22,0.006525500677525997,0.00015799976245034486,1.0000001e-07,0.006586208939552307,0.00015355984214693308
23,0.006528736092150211,0.00015723508840892464,1.0000001e-07,0.006585235241800547,0.00015365092258434743
24,0.006524757947772741,0.00015733260079286993,1e-07,0.00658644363284111,0.000153269967995584
25,0.006526387296617031,0.00015671932487748563,1e-07,0.006585045251995325,0.00015381391858682036
26,0.0065261125564575195,0.0001584995916346088,1e-07,0.006588868796825409,0.00015337378135882318
27,0.006525777280330658,0.00015724370314273983,1e-07,0.006585692521184683,0.00015333577175624669
28,0.006525140255689621,0.00015638084732927382,1e-07,0.006586200557649136,0.0001534787006676197
29,0.006522193551063538,0.00015683849051129073,1e-07,0.006587151437997818,0.00015373369387816638
